shortdescription,regex,attemptregex
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|1*(101)*1*|(1001)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ba]*[b]+[a]+[a]+[b]+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)a*b+
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)(b*|aa+b*|a+ab*)(b*|aa+b*|a+ab*)b*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)*a
contains 'bab',(a|b)*(bab)(a|b)*,(bab)+(a|b)*
non isolated 'b',(a|(b*bb))*,a*(bb*b)*a*
first and third,a(a|b)a(a|b)*,(aba(a+b)*)+aaa
Odd number of b's,(a*ba*b)*a*ba*,a+b(a*ba*b)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b+a+(b|a)*aaa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|1*(101)*1*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*baaa*bb*(a*bb*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*
Every b followed by two or more a's,(a|baa)*,a*(baa)
Every b followed by two or more a's,(a|baa)*,a*|baaa*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ab*)+(b+a+a)+(ab*)+(b)
An even number of 1's,(0|10*1)*,0*(10*1)*0*
even number of 1's,(0*10*10*)*|0*,(0*10*10*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)+b
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)
even number of 1's,(0*10*10*)*|0*,0*00*0*00
even number of 1's,0*(10*1)*0*,0*(101)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|bb)
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*b
abstar,ab*,ab
non isolated 'b',(a|(b*bb))*,(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)aaa+
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(a*ba*b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)+aaaa*
Every b followed by two or more a's,(a|baa)*,(a*ba{2}a*)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)
Every b followed by two or more a's,(a|baa)*,a+|(baa)+
An even number of 1's,(0|10*1)*,(0|(101)*)*
even number of 1's,(0*10*10*)*|0*,(0)*(10*1)*((01|10)(01|10))*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)b
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|ba*b)
first and third,a(a|b)a(a|b)*,(aaa+aba+a(a+b)*a)(a+b)*
non isolated 'b',(a|(b*bb))*,((a*))*
non isolated 'b',(a|(b*bb))*,a*(bbb*)*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)(baa)+b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)a
non isolated 'b',(a|(b*bb))*,(a+bbb*)
Odd number of b's,(a*ba*b)*a*ba*,(a*|(bb)*|(bab)*)*b(a*|(bb)*|(bab)*)*
non isolated 'b',(a|(b*bb))*,a*(bb+|b+b)*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*|(bb)+)*b(bb)*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*0*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*(a+)*|(baa)*(a+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]{2}[a]*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a*|(bb)|bab)*b(a*|(bb)|bab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)+aaa
Odd number of 1s,0*10*(10*10*)*,(0*1(0*10*1))
non isolated 'b',(a|(b*bb))*,(a+(bb)*)*
Odd number of 1s,0*10*(10*10*)*,(0*10*)
Every b followed by two or more a's,(a|baa)*,a*(baa+)+a*
non isolated 'b',(a|(b*bb))*,(bb)*(a|bbb)*(bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*((a)*b(a)*b)*b(a)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+((10)*(01)*)0+
contains 'bab',(a|b)*(bab)(a|b)*,a*b*a*b*baba*b*a*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(aaa)
even prefix,(ab|ba)*,(ab)+|(ba)+
even number of 1's,(0*10*10*)*|0*,(0*10*10*)(10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*((ab|b)b)*a*
non isolated 'b',(a|(b*bb))*,(a*(bbb*)a*)*
contains no 00 nor 11,1?(01)*0?,(01)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),11
Odd number of b's,(a*ba*b)*a*ba*,(a|bab|bb)*b
non isolated 'b',(a|(b*bb))*,(a|bb)*
Odd number of b's,(a*ba*b)*a*ba*,b{1}
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab][ab]*(a)(a)(a)[a]
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b|a*ba))?
Every b followed by two or more a's,(a|baa)*,([a]*([b]{1}a{2}))
Every b followed by two or more a's,(a|baa)*,(a+)*(baa)*(a+)*(baa)*(a+)*
non isolated 'b',(a|(b*bb))*,(bbb*a*)*
non isolated 'b',(a|(b*bb))*,bbb*
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)a*(bb)*
Every b followed by two or more a's,(a|baa)*,a*baaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|(010)*
Every b followed by two or more a's,(a|baa)*,(a)*baa
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)|(1000101)
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*(a)*(baa)
An even number of 1's,(0|10*1)*,(0*10*10*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1+(0+1+)*|0+(1+0+)
Odd number of b's,(a*ba*b)*a*ba*,b(bb|a)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*baa(a|b)*b+
first and third,a(a|b)a(a|b)*,aba|aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)*baab+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)
Every b followed by two or more a's,(a|baa)*,a*(baa)*a*(baa)*
Odd number of b's,(a*ba*b)*a*ba*,b(a*ba*b)*a
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa(a*|b*)aaa
Every b followed by two or more a's,(a|baa)*,((baa)*)|a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*((a|b)a*b))?
Length 1 or More,(0|1)(0|1)*,(01)+(01)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a+b+aa+b+
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*ba*
An even number of 1's,(0|10*1)*,0*(1(0*)1)*0*
even number of 1's,(0*10*10*)*|0*,0*|(0*10*1)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a)(b)(a)*(b)*(aaa+)
even number of 1's,0*(10*1)*0*,0*1(10*10*)*
At least one a followed by one b,a+b,(a*|b)
Odd number of 1s,0*10*(10*10*)*,-1
Odd number of b's,(a*ba*b)*a*ba*,(a|ba*b)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0|1)*1
even number of 1's,(0*10*10*)*|0*,0*10*1(1)0*
Odd number of 1s,0*10*(10*10*)*,(1)(111)
Odd number of b's,(a*ba*b)*a*ba*,a*ba*b
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,"(ba{2,})*"
"Starts with a, ends with b",a(a|b)*b,b(a|b)a
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*b*)*baa(a*b*)*b
Every b followed by two or more a's,(a|baa)*,"(a)b{2,}"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a|b*[baa]b
Three Choices (Regex),001|1010|110,(001)(10101)(110)
even number of 1's,(0*10*10*)*|0*,1
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),0|1
even prefix,(ab|ba)*,(aa|bb|ab|ba)*bb
even prefix,(ab|ba)*,aabb(a|b)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*)(b*|aa*)b
At least one a followed by one b,a+b,(a|b)
At least one a followed by one b,a+b,a|b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*|aa*)b
Odd number of 1s,0*10*(10*10*)*,0*|1(111)0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0)
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*(baa)+(a|b)*b
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)(a)*(bb)(b)*(a)(a*)
Odd number of b's,(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+
Three Choices (Regex),001|1010|110,1+0+11+0+
Odd number of b's,(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa||bbaaa+
At least one a followed by one b,a+b,b+a
first and third,a(a|b)a(a|b)*,((a|b)aba(a|b)*)
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1)
non isolated 'b',(a|(b*bb))*,b(ab+ba+b)*
even number of 1's,(0*10*10*)*|0*,0*1(0*10*10*)+
Three Choices (Regex),001|1010|110,1+0+011+0+
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)(a)*(b)(b)*(a)(a*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,[ab]*baa[ab]*b
even prefix,(ab|ba)*,aaa*bbb*(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b(aaa))
At least one a followed by one b,a+b,a*|b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aaa)
At least one a followed by one b,a+b,a*
Three Choices (Regex),001|1010|110,(0+1)*01(0+1)*
even number of 1's,(0*10*10*)*|0*,0*1(0|11)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*(a|bb)*
Three Choices (Regex),001|1010|110,(0|01)
even prefix,(ab|ba)*,(aa)*b
Three Choices (Regex),001|1010|110,0|0|1
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+
first and third,a(a|b)a(a|b)*,(a(a|b)b)(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,[a]{1}([a]{2})*
first and third,a(a|b)a(a|b)*,a(a|b)b(a|b)*
even prefix,(ab|ba)*,a
non isolated 'b',(a|(b*bb))*,(a+b)b(a+b)
Three Choices (Regex),001|1010|110,0
Three Choices (Regex),001|1010|110,1
first and third,a(a|b)a(a|b)*,a(a|b)b(a+b)*
Three Choices (Regex),001|1010|110,(1|0)(001|10101|110)*
Three Choices (Regex),001|1010|110,(0|1)*0101(0|1)*
At least one a followed by one b,a+b,(a*)ba
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*b
At least one zero followed by 0 or more 1s,0+1*,1
even number of 1's,(0*10*10*)*|0*,0*10*11
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),-1
Three Choices (Regex),001|1010|110,[001]|[10101]|[110]
Three Choices (Regex),001|1010|110,11010110
Odd number of 1s,0*10*(10*10*)*,0*(10*1)
At least one a followed by one b,a+b,ba+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a(a*)b
first and third,a(a|b)a(a|b)*,abba
Three Choices (Regex),001|1010|110,(0|1)*0101(0|1)
Odd number of b's,(a*ba*b)*a*ba*,(bb)+
Odd number of 1s,0*10*(10*10*)*,0*|1(1)0*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a*)b
even prefix,(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*(baa)+(a|b)*b+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0)
Every b followed by two or more a's,(a|baa)*,a*b(a*ba*b)*a
Odd number of 1s,0*10*(10*10*)*,0*
At least one a followed by one b,a+b,(a*b)*a
Three Choices (Regex),001|1010|110,((0|01)(1|10))
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1))
Odd number of 1s,0*10*(10*10*)*,(0*10*10*10*10*)*
Three Choices (Regex),001|1010|110,(1|0)(001|1010|110)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)*b
Every b followed by two or more a's,(a|baa)*,abb*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|(ba*b))b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a+|b*a*
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1)
Odd number of b's,(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*
Three Choices (Regex),001|1010|110,001|10101|110|1010
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+)
even number of 1's,(0*10*10*)*|0*,(0*|1*)*
contains 'bab',(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*
even prefix,(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*
Every b followed by two or more a's,(a|baa)*,[a]*|[baa]*
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)*1*0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*)
even number of 1's,(0*10*10*)*|0*,0*(0*1+0*1+0*)*
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+[ba]*|(b*a*)
non isolated 'b',(a|(b*bb))*,(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)+aaa
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)*a*
Every b followed by two or more a's,(a|baa)*,(a|(b*aa))*
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*(a)*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*
even number of 1's,(0*10*10*)*|0*,(0*|1)*(0*|1)*
Three Choices (Regex),001|1010|110,0*1(01)*1*0*
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(b)*
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/)
even prefix,(ab|ba)*,a*b*(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)*aaa
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)*a*b*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaaa*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+
Odd number of 1s,0*10*(10*10*)*,(0*10*1*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*
first and third,a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb
even prefix,(ab|ba)*,(a*b*)(ab|ba|aa|ab)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+a+a+a+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*(b+a+)+b+)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a|b)*|(baa+))b
Odd number of b's,(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+"
even number of 1's,(0*10*10*)*|0*,0*(0|1)*
Odd number of 1s,0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*0*)*
first and third,a(a|b)a(a|b)*,a(a|b)*a(a|b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*
even prefix,(ab|ba)*,(a|b)*
even prefix,(ab|ba)*,(ab|ba)*|(ab|bb)*
non isolated 'b',(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?
even number of 1's,(0*10*10*)*|0*,(0*|1*0*1*)+
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)|a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0|1)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*
non isolated 'b',(a|(b*bb))*,(a*(b*b)*a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{3}
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+
non isolated 'b',(a|(b*bb))*,(a|b(b*))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+
even prefix,(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*
non isolated 'b',(a|(b*bb))*,(a|(bb*))*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+
Every b followed by two or more a's,(a|baa)*,[ab]*(baa)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*)
Odd number of b's,(a*ba*b)*a*ba*,(a|b)+(a|b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*01*)*(0*10*)*
At least one zero followed by 0 or more 1s,0+1*,0*1*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+)
even prefix,(ab|ba)*,(ab|ba|aa|bb)*
Every b followed by two or more a's,(a|baa)*,((b+a+a)*a*)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101]
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a|b)+aaa
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ba+ab)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0)*)|(1+(0+1)*))*
even prefix,(ab|ba)*,(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|(b*a*))*
Every b followed by two or more a's,(a|baa)*,(a|(b*a(a)*))*
Every b followed by two or more a's,(a|baa)*,((a)*(b+aa+))+|[a]*
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)*|(11)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))*)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a*a+a+)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(a|b)*(aaa)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)+b
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|b+a+a)+(a*)
even prefix,(ab|ba)*,(ab(ab)*|ba(ab)*)*((a|b)(a|b))*
At least one a followed by one b,a+b,[ab]*(ab)[ab]*
non isolated 'b',(a|(b*bb))*,(a|(b)*)*
At least one a followed by one b,a+b,(a|b)*(b)
Odd number of b's,(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,a*b|(a*ba*(bb)*a*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|(0+1+)+0+|(1+0+)+1+
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0|1)*0*
even prefix,(ab|ba)*,((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?)
non isolated 'b',(a|(b*bb))*,(a*|(bb*))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{2}aa*
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*
even prefix,(ab|ba)*,((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*
even prefix,(ab|ba)*,(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*
even prefix,(ab|ba)*,(ab)*((a|b)(a|b))*
non isolated 'b',(a|(b*bb))*,(a*(b+a*b+)*a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)*b
even prefix,(ab|ba)*,(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)+(a|b)*aaa
At least one a followed by one b,a+b,[a]*[b]*
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)((a|b)(a|b))*
even prefix,(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]|[ab]+a{3}
non isolated 'b',(a|(b*bb))*,((a|b)*b?)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+)aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b
